Station,Route,Begin MP,End MP,Section Length,Location Description,AADT2022
007-0275,1324PM,0.6570,10.1925,9.5355,Gas Lane Rd (Rt 1327) via Airport Rd - End Pvmt at Ut Am Energy Inc,"1,592"
007-0225,1325PM,0.0000,0.7250,0.7250,SR 157 (Poplar St) via Main Street - SR 6,"2,487"
007-0226,1325PM,0.7250,0.9924,0.2674,SR 6 westerly via Main St  - Bryner St (Rt 1326),"3,358"
007-0285,1326PM,0.0000,1.2040,1.2040,SR 6 via Main St/Bryner St/Canyon St - Castle Gate Road,168
007-0290,1326PM,1.2040,3.9727,2.7687,Castle Gate Road  Helper via Spring Canyon Rd - Standardville,"1,719"
007-0410,1327PM,0.0000,1.0010,1.0010,Airport Rd via Bird Rd - 800 N  Price,152
007-0415,1327PM,1.0010,7.6232,6.6222,800 N via Oil Well Rd - SR 157 Kenilworth,394
007-0500,1329PM,0.0000,0.4870,0.4870,SR 6 via Hill St - Uintah St  Helper,461
007-0505,1329PM,0.4870,0.6565,0.1695,Uintah St westerly via Canyon St - Bryner St (Rt 1326  Helper,114
007-0295,1330PM,0.0000,0.2730,0.2730,SR 55 (100 N) via Carbon Ave - 400 N  Price,"3,043"
007-0300,1330PM,0.2730,1.8000,1.5270,Carbon Ave Price via 400 N/1100 N - 750 W Carbonville,680
007-0305,1330PM,1.8000,3.0635,1.2635,1100 N Carbonville via 750 W/Keller Ln/1500 N - Carbonville Rd,"1,050"
007-0420,1331PM,0.0000,1.5430,1.5430,SR 55 (300 E) via 100 N/Cedar Hills Dr - 800 N  Price,"2,809"
007-0421,1331PM,1.5430,2.1680,0.6250,800 N via Cedar Hills Dr/1000 N - Homestead Blvd  Price,160
007-0425,1331PM,2.1680,2.2821,0.1141,Homestead Blvd via 1000 N - Bird Rd  Price,81
007-0310,1332PM,0.0000,0.1280,0.1280,SR 55 (100 N) via Carbonville Rd - Main St Carbonville,"6,772"
007-0315,1332PM,0.1280,2.1220,1.9940,Main St via Carbonville Rd - South Westerly Rd (Rt 1341),"4,176"
007-0320,1332PM,2.1220,3.5212,1.3992,South Westerly Rd (Rt 1341) via Carbonville Rd  - SR 6  Carbonville,"3,270"
007-0525,1333PM,0.0000,0.7338,0.7338,Main St (RT 1326) via Frontage Rd - SR 6  Helper,108
007-0355,1334PM,0.0000,0.6140,0.6140,SR 6 NB On Ramp South Price via Nick Lane - 700 E  Price,"1,027"
007-0356,1334PM,0.6140,0.9150,0.3010,700 E via 400 S - 400 E  Price,"1,084"
007-0357,1334PM,0.9150,1.3180,0.4030,400 S via 400 E - SR 55 (Main St)  Price,"1,196"
007-0358,1334PM,1.3180,1.4170,0.0990,SR 55 Main St via 400 E - 100 N  Price,"1,134"
007-0359,1334PM,1.4170,1.8073,0.3903,100 N via 400 E - 400 N (Rt 1348)  Price,849
007-0430,1335PM,0.0000,0.4350,0.4350,SR 10 Carbon Ave via 400 S - 400 East,"1,148"
007-0530,1336PM,26.6790,27.0373,0.3583,Hill Top Rd via Pinnacle Creek Rd - Gordon Creek Rd (Rt 1314)  Price,108
007-0360,1338PM,0.0000,0.0980,0.0980,SR 55 (Main St) via 600 E - 100 N,"1,112"
007-0361,1338PM,0.0980,0.5389,0.4409,100 N (Rt 1331) via 600 E/400 N - Veterans Lane (Rt 1348),503
007-0535,1340PM,0.0000,0.2827,0.2827,600 N (Rt 1348) via Veterans Ln - 800 N (Rt 1344)  Price,"1,004"
007-0435,1341PM,0.0000,0.4970,0.4970,SR 6/SR 55 via Westwood Blvd - Fairgrounds Rd  Price,"6,446"
007-0436,1341PM,0.4970,2.3205,1.8235,Fairgrounds Rd  Price  via Westwood Blvd - Carbonville Rd,753
007-0365,1342PM,0.0000,0.5980,0.5980,Carbonville Rd via Main St - SR 10 Carbon Ave  Price,"5,234"
007-0370,1342PM,0.5980,0.9087,0.3107,SR 10 Carbon Ave via Main St - 300 E  Price,"7,870"
007-0440,1344PM,0.0000,0.6130,0.6130,SR 55 (100 N) via 300 E- 600 N  Price,"8,161"
007-0371,1344PM,0.6130,0.8610,0.2480,600 N via 300 E - 800 N  Price,"3,148"
007-0445,1344PM,0.8610,1.5550,0.6940,300 E via 800 N - Cedar Hills Dr  Price,"2,021"
007-0450,1344PM,1.5550,2.1872,0.6322,Cedar Hills Dr via 800 N - Bird Rd  Price,"2,924"
007-0455,1345PM,0.0000,0.4030,0.4030,400 S via 700 E - SR 55 (Main St)  Price,437
007-0460,1345PM,0.4030,0.5003,0.0973,SR 55 (Main St) via 700 E - Cedar Hills Dr  Price,"3,774"
007-0465,1347PM,0.0000,0.2549,0.2549,800 N via Holmstead Blvd - Cedar Hills Dr (1000 N)  Price,473
007-0372,1348PM,0.0000,0.3930,0.3930,Carbon Ave via 400 N/100 E/400 N - 300 E  Price,"1,490"
007-0475,1348PM,0.3930,1.1455,0.7525,300 E via 400 N/Veterans Ln/600 N - 300 E  Price,"5,186"
009-0054,1364PM,0.0000,8.0370,8.0370,Wyoming State Line via Browns Park Rd - Clay Basin Camp,118
009-0055,1364PM,8.0370,24.6833,16.6463,Clay Basin Camp via  Browns Park Rd - Colorado State Line,81
009-0056,1370PM,0.0000,12.9522,12.9522,SR 44 North End via Sheep Creek Rd - SR 44 South End,68
009-0057,1374PM,0.0000,2.9412,2.9412,SR 43/SR 44 via Main St - SR 43 Manila,497
011-0655,1380PM,0.0000,0.5230,0.5230,SR89 via Eagle Ridge Dr/Orchard Dr - Center St  North Salt Lake,"9,501"
011-0660,1380PM,0.5230,1.1480,0.6250,Center St via Orchard Dr - 3800 S  North Salt Lake,"10,750"
011-0661,1380PM,1.1480,1.7640,0.6160,3800 S via Orchard Dr - 500 W  Bountiful,"14,669"
011-0665,1380PM,1.7640,2.2806,0.5166,500 W via Orchard Dr - 2600 S  Bountiful,"4,535"
011-0667,1384PM,0.0000,4.6674,4.6674,SR 89 via Main St/1100 W - 1600 N  W Bountiful,"4,971"
011-0630,1386PM,0.0000,0.9440,0.9440,Redwood Rd via 1100 N - Main St  North Salt Lake,"10,688"
011-0635,1386PM,0.9440,1.3966,0.4526,Main St  via 1100 N - SR 93   North Salt Lake,"10,216"
011-0645,1388PM,0.0000,0.2130,0.2130,SR 89 via 2600 S - 500 W  Bountiful,"26,007"
011-0650,1388PM,0.2130,0.5520,0.3390,500 W via 2600 S - Orchard Dr/200 W   Bountiful,"14,526"
011-0670,1388PM,0.5520,0.8220,0.2700,200 W via Orchard Dr - North Canyon Rd   Bountiful,"19,661"
011-0675,1388PM,0.8220,1.6960,0.8740,North Canyon Rd via Orchard Dr - 1500 S   Bountiful,"13,996"
011-0680,1388PM,1.6960,2.3740,0.6780,1500 S via Orchard Dr - 500 S   Bountiful,"11,316"
011-0685,1388PM,2.3740,3.0280,0.6540,500 S via Orchard Dr - 400 N   Bountiful,"16,658"
011-0690,1388PM,3.0280,3.9110,0.8830,400 N via 400 E - Pages Ln   Bountiful,"11,106"
011-0695,1388PM,3.9110,4.6420,0.7310,Pages Lane via 400 E - Center St   Centerville,"5,439"
011-0700,1388PM,4.6420,4.9400,0.2980,Center St via 400 E - 400 N   Centerville,"6,146"
011-0705,1388PM,4.9400,5.7324,0.7924,400 N via 400 E/1000 N - SR 106 Main St  Centerville,"2,826"
011-1300,1389PM,0.0000,0.0294,0.0294,Eaglewood Dr via Wood Hill Ln - End of Road,10
011-0710,1389PM,0.1407,0.8060,0.6653,Begin of Pavement via Davis Blvd - 3100 S North Salt Lake,"1,711"
011-0715,1389PM,0.8060,1.2080,0.4020,3100 S via Davis Blvd - North Canyon Rd   Bountiful,"1,833"
011-0720,1389PM,1.2080,2.1330,0.9250,North Canyon Rd via Davis Blvd - 1800 S   Bountiful,"1,669"
011-0721,1389PM,2.1330,3.1360,1.0030,1800 S via Davis Blvd - 500 S   Bountiful,"3,201"
011-0722,1389PM,3.1360,3.8339,0.6979,500 S via Davis Blvd - 400 N   Bountiful,"2,258"
011-1220,1390PM,0.0000,0.6207,0.6207,800 W via Chase Ln (1000 N) - Main St (SR 106)  Centerville,"1,508"
011-0609,1392PM,0.0000,1.2300,1.2300,2200 W via Center St - SR 68 Redwood Rd North Salt Lake,"4,697"
011-0610,1392PM,1.2300,2.0450,0.8150,Redwood Rd via Center St - I-15 SB Off Ramp,"16,500"
011-0615,1392PM,2.0450,2.3530,0.3080,I-15 SB Off Ramp via Center St - SR 89   North Salt Lake,"9,722"
011-0620,1392PM,2.3530,2.6036,0.2506,SR 89 via Center St -  Orchard Dr   North Salt Lake,"4,857"
011-1245,1394PM,0.0000,0.3488,0.3488,Main St (SR 106) via Parrish Lane (400 N) - 400 E (Rt 1388)  Centerville,"5,971"
011-0725,1396PM,0.0000,0.5811,0.5811,Orchard Dr via 3100 S - Davis Blvd   Bountiful,"7,061"
011-0729,1398PM,0.0000,0.2650,0.2650,Main St (Rt 1384) via 3800 S - SR 89 State St Bountiful,"2,567"
011-0730,1398PM,0.2650,0.7463,0.4813,SR 89 via 3800 S - Orchard Dr   Bountiful,"2,505"
011-0732,1400PM,0.0000,0.2360,0.2360,Orchard Dr via Eaglewood Dr - Wood Hills Ln  North Salt Lake,"5,173"
011-0733,1400PM,0.2360,1.2780,1.0420,Wood Hills Ln via Eaglewood Dr - Eagleridge Dr,"5,378"
011-0735,1400PM,1.2780,3.0450,1.7670,Eaglewood Dr via Bountiful Blvd - Chelsea Dr  Bountiful,"2,860"
011-0736,1400PM,3.0450,4.4150,1.3700,Chelsea Dr via Bountiful Blvd - Mueller Park Rd  Bountiful,"2,526"
011-0737,1400PM,4.4150,5.4160,1.0010,Mueller Park Rd via Bountiful Blvd - Temple View Dr (700 S)  Bountiful,"3,194"
011-0738,1400PM,5.4160,6.4840,1.0680,Temple View Dr via Bountiful Blvd - 1300 E  Bountiful,"3,391"
011-0739,1400PM,6.4840,6.7680,0.2840,1300 E westerly via 400 N - Davis Blvd  Bountiful,"5,488"
011-0805,1400PM,6.7680,7.4850,0.7170,Davis Blvd westerly via 400 N - 400 E  Bountiful,"6,937"
011-0800,1400PM,7.4850,7.8549,0.3699,400 E westerly via 400 N - SR 106 Main St   Bountiful,"18,059"
011-0726,1402PM,0.0000,0.2890,0.2890,Orchard Dr via North Canyon Rd - Davis Blvd   Bountiful,"5,741"
011-0727,1402PM,0.2890,1.3162,1.0272,Davis Blvd via North Canyon Rd/Chelsea Dr - Bountiful Blvd,"5,999"
011-0740,1404PM,0.0000,0.3730,0.3730,Orchard Dr via 500 W - 2600 S  Bountiful,"9,516"
011-0745,1404PM,0.3730,1.3690,0.9960,2600 S via 500 W/Main St - 1500 S   Bountiful,"7,537"
011-0750,1404PM,1.3690,2.1060,0.7370,1500 S via Main St - 500 S   Bountiful,"12,486"
011-0755,1404PM,2.1060,2.4560,0.3500,500 S via Main St - Center St   Bountiful,"9,891"
011-0757,1404PM,2.4560,2.7552,0.2992,Center St via Main St - 400 N   Bountiful,"6,035"
011-1095,1406PM,0.0000,2.3319,2.3319,Orchard Dr (Rt 1380) via Eagleridge Dr - Eaglewood Dr (Rt 1400),"1,493"
011-0756,1408PM,0.0000,0.7350,0.7350,400 W (SR 68) via 1800 S - Orchard Dr (Rt 1388) Bountiful,"8,183"
011-0758,1408PM,0.7350,1.2250,0.4900,Orchard Dr (Rt 1388) via 1800 S - Davis Blvd (Rt 1392) Bountiful,"12,100"
011-0760,1408PM,1.2250,2.3743,1.1493,Davis Blvd (Rt 1392) via 1800 S - Bountiful Blvd (Rt 1400),"6,602"
011-0775,1410PM,0.0000,1.4660,1.4660,Redwood Rd via 1500 S - 800 W (Rt 1418)  Bountiful,"2,947"
011-0765,1410PM,1.4660,1.9800,0.5140,800 W (Rt 1418) via 1500 S - 500 W ( SR 89),"13,673"
011-0770,1410PM,1.9800,2.3160,0.3360,500 W (SR 89) via 1500 S - Main St (Rt 1404),"12,019"
011-0772,1410PM,2.3160,2.8770,0.5610,Main Street (Rt 1404) via 1500 S - Orchard Dr (Rt 1388),"3,986"
011-1015,1416PM,0.0000,9.4930,9.4930,Jct 400 N (Rt 1400) via 1300 E - Seasonal Gate Bountiful,"1,514"
011-1020,1416PM,9.4930,24.8070,15.3140,Seasonal Gate via Farmington Canyon Rd - Urban Boundary,556
011-0826,1416PM,24.8070,25.1615,0.3545,Farmington Pond Rec Area - Main Street SR 106,878
011-0780,1418PM,0.0000,0.9080,0.9080,2600 S via 800 W - 1500 S (Rt 1410) Woods Cross,"6,836"
011-0785,1418PM,0.9080,1.6888,0.7808,1500 S (Rt 1410) via 800 W/700 W -  500  S (SR 68) Woods Cross,"4,679"
011-0790,1418PM,1.6898,2.4360,0.7462,500 S (SR 68) via 800 West - 400 N @ SR 106,"4,378"
011-0810,1420PM,0.0000,0.2600,0.2600,200 W (SR 89) via 500 S - Main St (Rt 1404)  Bountiful,"24,344"
011-0815,1420PM,0.2600,0.6950,0.4350,Main St (Rt 1404) via 500 S - Orchard Dr (Rt 1388) Bountiful,"19,714"
011-0820,1420PM,0.6950,1.3761,0.6811,Orchard Drive (Rt 1388) via 500 S - Davis Blvd (Rt 1392),"13,257"
011-1025,1422PM,0.0000,0.6670,0.6670,500 S (SR 89) via 200 W - 400 N (Rt 0106),"11,541"
011-0822,1422PM,0.6670,1.5410,0.8740,400 N (Rt 106) via 200 W - Pages Ln,"13,122"
011-1030,1422PM,1.5410,3.0929,1.5519,Pages Ln via 200 West - Porter Ln (Rt 1436),"9,254"
011-1250,1424PM,0.0000,0.3440,0.3440,200 W (Rt 1422) via Pages Lane - Main St (SR 106),"5,971"
011-1255,1424PM,0.3440,0.6898,0.3458,Main St (SR 106) via Pages Ln - 400 E (Rt 1388),"5,971"
011-1260,1425PM,0.0000,0.8612,0.8612,800 W (RTt 1432) via Pages Ln - 200 W (Rt 1422),100
011-1265,1426PM,0.0000,0.5154,0.5154,1100 W (Rt 1384) via Pages Ln - 800 W (Rt 1432),100
011-0549,1427PM,0.0000,0.1285,0.1285,Clark Lane 100 N (Rt 1454) via 1100 W - Park Ln (Rt 1459),"10,187"
011-1270,1428PM,0.0000,1.1140,1.1140,Pages Ln (Rt 1425) via Frontage Rd - Parrish Ln (SR 105),"1,990"
011-1275,1428PM,1.1140,1.6900,0.5760,Parrish Ln (SR 105) via Frontage Rd - Chase Ln (Rt 1390),"1,990"
011-1280,1428PM,1.6900,4.1920,2.5020,Chase Ln (Rt 1390) via Frontage Rd - Grovers Ln (Rt 1459),"1,990"
011-1285,1428PM,4.1920,4.8030,0.6110,Grovers Ln (Rt 1459) via Frontage Rd - 200 W (SR 227),"1,990"
011-1032,1430PM,0.0000,0.5115,0.5115,1100 W (Rt 1384) via 400 N - 800 W (Rt 1418),"3,760"
011-1225,1431PM,0.0000,1.0430,1.0430,Pages Ln (Rt 1426) via 600 W - Parrish Ln (SR 105),"2,986"
011-1230,1431PM,1.0430,1.8785,0.8355,Parrish Ln (SR 105) via 600 W/1250 W - 1275 N,995
011-1235,1431PM,2.7929,5.2103,2.4174,1900 N via Tippetts Ln (650 W) - State St (Rt 1454)  Farmington,498
011-1290,1432PM,0.0000,0.8706,0.8706,400 N (Rt 1430/1418) via 800 W - Pages Ln (Rt 1426/1425),"2,986"
011-1033,1435PM,1.8368,2.8534,1.0166,2200 W via 750 S - Angel St (Rt 1445) Layton,108
011-1036,1435PM,2.8534,3.7875,0.9341,Angel St via Layton Pkwy - Flint St (Rt 1438)  Layton,"8,492"
011-1034,1435PM,3.7875,4.2608,0.4733,Flint Street (Rt 1438)  via 700 S - Main St (SR 126) Layton,"1,097"
011-1035,1436PM,0.0000,0.6908,0.6908,400 W (Rt 1422) via 400 S Porter Lane - 400 E (Rt 1388),"5,140"
011-0828,1438PM,0.0000,2.0350,2.0350,Main St (SR 89) westerly via Shepard Ln - Sunset Dr,"8,319"
011-0830,1438PM,2.0350,2.4220,0.3870,Shepard Lane via Sunset Dr -  Burton Ln (1000 S),"3,672"
011-0829,1438PM,2.4220,4.6660,2.2440,Burton Ln (1000 South) via Sunset St/Flint St - 200 N (Rt 1512),"6,237"
011-0835,1438PM,4.6660,6.2943,1.6283,200 North via Flint Street - Gentile St (Rt 1458),"4,138"
011-1040,1439PM,0.0000,0.9207,0.9207,Shepard Ln (Rt 106) via Main Street - SR 273 Farmington,"9,279"
011-0845,1442PM,0.0000,0.7929,0.7929,Main St (SR 273) via 200 North - 600 East Kaysville,"14,364"
011-0850,1442PM,0.7929,1.7342,0.9413,600 East via 200 North - SR 89 Kaysville,"6,743"
011-0855,1443PM,0.0000,2.4585,2.4585,Main St (Rt 1439) via Mountain Rd - SR 89 Fruit Heights,"2,163"
011-0857,1445PM,0.0000,0.5540,0.5540,Sunset Dr westerly via Western Dr - Angel Dr,544
011-0858,1445PM,0.5540,4.5587,4.0047,Western Dr via Angel St - Gentile St (Rt 1458),"9,820"
011-0860,1446PM,0.0000,1.7006,1.7006,Sunset Dr (Rt 1438) via Burton Ln - Main St (SR 273),"3,350"
011-0865,1446PM,1.7016,3.0538,1.3522,Main St (SR 273) via Nicholls Road - SR 89,"1,842"
011-1100,1448PM,0.0000,1.9282,1.9282,Main St (Rt 1452) via Crestwood Rd - SR 89  Kaysville,"6,705"
011-1105,1449PM,0.0000,2.7443,2.7443,Shepard Lane (Rt 1438) via Frontage Rd/50 W - SR 273  Kaysville,503
011-0870,1450PM,0.0000,0.7860,0.7860,Main St (SR 273) via Mutton Hollow Rd - Fairfield St (Rt 1456),"2,770"
011-0871,1450PM,0.7860,2.3825,1.5965,Fairfield Rd via Mutton Hollow Rd - SR 89,"3,108"
011-0875,1452PM,0.0000,0.8600,0.8600,200 N (SR 273) via Main St - Mutton Hollow Rd (Rt 1450),"14,050"
011-0880,1452PM,0.8600,1.3970,0.5370,Mutton Hollow Road via Main Street - Fort Lane (Rt 1484),"14,608"
011-0886,1454PM,0.0000,1.0520,1.0520,Jct 1100 W (Rt 1427) via Clark Ln - SR 227,"11,728"
011-0890,1456PM,0.0000,1.0250,1.0250,200 N (Rt 1442) via Fairfield Rd - Mutton Hollow Rd (Rt 1450),"6,857"
011-0891,1456PM,1.0250,1.7170,0.6920,Mutton Hollow Rd via Fairfield Rd - Gentile St,"8,088"
011-0892,1456PM,1.7170,2.6710,0.9540,Wasatch Dr via Fairfield Rd (100 E),"15,164"
011-0893,1456PM,2.6710,3.6760,1.0050,Gordon Avenue (1000 N) via Fairfield Road,"12,535"
011-0895,1456PM,3.6760,4.6189,0.9429,Antelope Drive (2000 N) - SR 193 (Hill Field Rd) via Fairfield Rd,"5,365"
011-0899,1458PM,0.0000,0.7590,0.7590,Gentile Street at Bluff,"11,466"
011-0900,1458PM,0.7590,3.4150,2.6560,3200 West via Gentile Street,"8,188"
011-0905,1458PM,3.4150,3.8918,0.4768,Flint Street - SR 126 Main Street via Gentile Street,"10,418"
011-1110,1459PM,0.0000,0.3140,0.3140,200 E (SR 106) westerly via Glovers Lane - Frontage Rd (Rt 1428)  Farmington,503
011-1115,1459PM,0.3140,1.9830,1.6690,Frontage Rd (Rt 1428) westerly via Glovers Lane - 1525 W  Farmington,503
011-1120,1459PM,1.9830,3.1500,1.1670,Glovers Lane via 1525 W - Clark Lane  Farmington,503
011-1125,1459PM,3.1500,4.0956,0.9456,1525 W via Clark Ln - I-15 SB Ramps  Farmington,503
011-1045,1462PM,0.0000,1.1137,1.1137,Gentile Street - Gordon Ave via Church Street,"3,895"
011-1046,1462PM,1.1147,3.2373,2.1226,Gordon Ave - SR 193 via Church Street,"7,180"
011-0907,1464PM,0.0000,3.0090,3.0090,3000 W via 2700 S - Main St  Syracuse,"9,608"
011-0908,1464PM,3.0090,5.3768,2.3678,Main Street - SR 126 via 2700 South Clearfield,"7,930"
011-0910,1466PM,0.0000,2.3897,2.3897,Gentile Street - SR 108 Antelope Drive via 3200 West,"11,166"
011-0902,1467PM,0.0000,3.0480,3.0480,3700 West via Hill Field Road - SR 126,"19,976"
011-0911,1468PM,0.0000,7.3176,7.3176,Antelope State Park - SR 110 via Antelope Island Road,"1,061"
011-1130,1470PM,0.0000,0.4080,0.4080,Antelope Dr (SR 108) via 1000 E - State St (SR 126)  Clearfield,732
011-1135,1470PM,0.4080,0.9932,0.5852,State St (SR 126) via 1000 E - 700 S (SR 193)  Clearfield,732
011-1140,1471PM,0.0000,0.2860,0.2860,Gordon Ave (Rt 1474) southerly via 400 W - Golden Ave  Layton,503
011-1145,1471PM,0.2860,1.1201,0.8341,400 W via Golden Ave - Fort Lane (Rt 1484)  Layton,503
,1472PM,0.0000,0.7454,0.7454,,"1,000"
011-1150,1472PM,0.7454,1.2571,0.5117,Gentile St (Rt 1458) via 2200 W - Hillfield Rd (Rt  1467)  Layton,"1,718"
011-1155,1472PM,1.2571,1.7451,0.4880,Hillfield Rd (Rt 1467) via 2200 W - Gordon Ave (Rt 1464)  Layton,"1,718"
011-1160,1472PM,1.7451,2.7447,0.9996,Gordon Ave (Rt 1464) via 2200 W - Antelope Dr (SR 108)  Layton,"1,718"
011-0915,1474PM,0.0000,0.8698,0.8698,Gordon Avenue at SR 232 Layton,"9,115"
011-0920,1474PM,0.8698,1.3197,0.4499,Fort Lane - Fairfield Road via Gordon Avenue,"13,023"
011-1240,1474PM,1.3197,3.5180,2.1983,Fairfield Rd (Rt 1456) via Gordon Ave - Valley View Dr  Layton,"4,976"
011-1165,1476PM,0.0000,2.0891,2.0891,Fairfield Rd (Rt 1456) via Cherry Lane - Frontage Rd  Layton,"1,713"
011-0924,1478PM,0.0000,0.7485,0.7485,University Park Blvd via Antelope Dr (2000 N) - SR 232 Hill Field Rd,"26,663"
011-0925,1478PM,0.7485,1.9654,1.2169,SR 232 Hill Field Rd via Antelope Dr (2000 N) - Fairfield Rd,"12,799"
011-0930,1478PM,1.9654,4.1836,2.2182,Fairfield Rd via  Antelope Dr (2000 N) - Valley View Dr,"6,693"
011-1170,1480PM,0.0000,0.8590,0.8590,State St (SR 126) via 200 S - 1000 E  Clearfield,503
011-1175,1480PM,0.8590,1.4906,0.6316,200 S southerly via 1000 E - 700 S (SR 193)  Layton,503
011-0955,1482PM,0.0000,0.4793,0.4793,SR 193 via Center St - SR 126,"9,339"
011-1049,1483PM,0.0000,2.9920,2.9920,2700 South via 3000 West Syracuse,"5,158"
011-1050,1483PM,2.9920,4.9940,2.0020,Jct SR 107 via 3000 West - 2300 North,"2,055"
011-1051,1483PM,4.9940,5.4970,0.5030,2300 N Clinton via 3000 W - 6000 S Roy,"2,382"
011-1052,1483PM,5.4970,6.1448,0.6478,6000 S via 4300 W - SR 97  Roy,"1,097"
011-0956,1484PM,0.0000,0.6520,0.6520,Fort Lane at Main Street Layton,"9,423"
011-0957,1484PM,0.6520,1.6610,1.0090,SR 109 Gentile St via Fort Ln - Gordon Ave,"10,888"
011-1180,1484PM,1.6610,2.6730,1.0120,Gordon Ave (Rt 1474) via Fort Lane - Antelope Dr (Rt 1478)  Layton,"3,016"
011-1185,1484PM,2.6730,3.6694,0.9964,Antelope Dr (Rt 1478) via Fort Lane - 700 S (SR 193)  Layton,"3,016"
011-0958,1485PM,0.0000,1.5060,1.5060,SR 110 via 700 South Syracuse,"4,187"
011-0959,1485PM,1.5060,3.5155,2.0095,3000 West - 1000 West via 700 South Syracuse,"3,789"
011-1190,1486PM,0.0000,0.6330,0.6330,State St (SR 126) via 500 E - Center St  Clearfield,"2,475"
011-1195,1486PM,0.6330,1.1272,0.4942,500 E westerly via Center St - State St  Clearfield,"2,475"
011-0965,1488PM,0.0000,0.6594,0.6594,700 South via Main St - Center St Clearfield,"2,645"
011-0360,1489PM,0.0000,1.5080,1.5080,3000 W via 300 N - 1500 W   West Point,"6,345"
011-0365,1489PM,1.5080,2.0090,0.5010,1500 W West Pointvia 300 N - 1000 W Clearfield,"15,720"
011-0370,1489PM,2.0090,3.0124,1.0034,1000 W via 300 N - SR 126 Main St  Clearfield,"10,704"
011-0970,1490PM,0.0000,1.4850,1.4850,SR 108 via 1000 W Clearfield -  SR 193,"14,386"
011-0975,1490PM,1.4850,1.9950,0.5100,200 South via 1000 West Clearfield,"10,015"
011-0980,1490PM,1.9950,2.4960,0.5010,300 North via 1000 West Clearfield,"8,901"
011-0982,1490PM,2.4960,3.5002,1.0042,800 North - SR 37 (1800 North) via 1000 West,"6,249"
011-1055,1492PM,0.0000,2.5100,2.5100,Jct SR 110,"5,724"
011-0985,1492PM,2.5100,3.5130,1.0030,2000 West - 1000 West via Doxey Street (800 North),"4,318"
011-0990,1492PM,3.5130,4.5170,1.0040,1000 West - SR 126 via 800 North,"7,269"
011-0992,1495PM,0.0000,1.2880,1.2880,2700 South - Antelope Highway via Bluff Street Syracuse,"2,715"
011-0993,1495PM,1.2880,1.7704,0.4824,Antelope Highway - 3000 W via Bluff Rd Syracuse,"1,398"
011-0995,1498PM,0.0000,1.5960,1.5960,Gentile St via Bluff St - 2700 S Syracuse,"7,096"
011-1000,1498PM,1.5960,2.5948,0.9988,2700 S via 2000 W - SR 108 Syracuse,"8,448"
011-1002,1500PM,0.0000,1.8014,1.8014,Bluff Road - SR 108 via 1000 West Syracuse,"11,133"
011-1200,1504PM,0.0000,1.5020,1.5020,4500 W (SR 110) via 1300 N - 3000 W (Rt 1483)  West Point,"1,156"
011-1205,1504PM,1.5020,2.5090,1.0070,3000 W (Rt 1483) via 1300 N - 2000 W (SR 108)  Clinton,"1,156"
011-1210,1504PM,2.5090,3.5100,1.0010,2000 W (SR 108) via 1300 N - 1000 W (Rt 1490)  Clinton,"1,156"
011-1215,1504PM,3.5100,4.5155,1.0055,1000 W (Rt 1490) via 1300 N - Main St (SR 126)  Sunset,"1,156"
011-1060,1506PM,0.0000,3.0810,3.0810,Jct SR 37 via 2300 North,"7,225"
011-1065,1506PM,3.0810,5.0808,1.9998,Jct SR 108 - SR 126,"5,675"
011-1010,1508PM,0.0000,0.8283,0.8283,SR 60 - I 84 via 475 East South Weber,"4,067"
057-0665,1508PM,0.8293,1.5315,0.7022,I 84 via Adams Ave - SR 89  South Ogden,"3,056"
011-0839,1512PM,0.0000,0.8200,0.8200,Angel St via 200 N - Flint St  Kaysville,"4,257"
011-0840,1512PM,0.8200,1.4833,0.6633,Flint St via 200 N - SR 273  Kaysville,"14,484"
013-0290,1543PM,0.0000,0.9791,0.9791,Main St (SR 40) via 800 S - 500 E,498
013-0155,1544PM,0.0000,8.8439,8.8439,SR 40 near Bridgerland via River Rd - SR 87,970
013-0260,1545PM,0.0000,2.9100,2.9100,SR 87 via 4000 W/2000 S - SR 40  Roosevelt,119
013-0265,1545PM,2.9100,6.0438,3.1338,SR 40 via 2000 S - 1500 E  Roosevelt,116
013-0270,1546PM,0.0000,4.7290,4.7290,SR 40 via Cobble hollow Dr (3760 S) - State St  Roosevelt,200
013-0273,1546PM,4.7290,6.8330,2.1040,3000 S via State St - SR 40  Roosevelt,200
013-0275,1546PM,6.8330,7.4805,0.6475,SR 40 via State St - 200 N (SR 121)  Roosevelt,"5,259"
047-0340,1550PM,5.6550,8.3550,2.7000,Begin at Urban Boundary Near 2700 S via 1500 E - Main St (SR 40)  Roosevelt,313
047-0345,1550PM,8.3550,9.4160,1.0610,Main St (SR 40) via 1500 E - Urban Boundary near 1000 N  Roosevelt,313
013-0156,1552PM,0.0000,15.4874,15.4874,SR 40 via Main St Myton - 4750 S Randlett Rd,382
013-0230,1566PM,0.0000,3.5840,3.5840,SR 87 via Moon Lake Rd (21000 W) - 7500 N Mountain Home,765
013-0231,1566PM,3.5840,17.9860,14.4020,21000 W Mountain Home via 7500 N/20780 W - Moon Lake Camp,158
013-0232,1576PM,0.0000,5.2840,5.2840,SR 87 via 12000 W Upalco - 4000 N Bluebell,980
013-0233,1576PM,5.2840,15.6805,10.3965,12000 W Bluebell via 4000 N - Handcock Rd (3000 W),"2,483"
